school_state,resource_type,poverty_level,date_posted,total_donations,num_projects,grade_level
CA,Technology,high,2010-08-23,704.4,1,Grades 3-5
CA,Technology,high,2010-08-23,704.4,1,Grades 3-5
CA,Technology,high,2010-08-23,704.4,1,Grades 3-5
CA,Other,high,2010-09-08,431.12,1,Grades PreK-2
CA,Technology,high,2010-09-21,223.77,2,Grades 6-8
CA,Technology,low,2010-09-15,501.75,1,Grades 6-8
CA,Other,high,2010-10-04,853.16,1,Grades 6-8
CA,Supplies,high,2010-05-14,106.0,1,Grades PreK-2
CA,Books,high,2010-09-26,674.87,1,Grades 9-12
CA,Supplies,high,2010-09-27,601.75,1,Grades 9-12
CA,Supplies,high,2010-09-04,85.0,1,Grades 3-5
CA,Supplies,minimal,2010-09-25,511.16,1,Grades PreK-2
CA,Supplies,high,2010-05-28,338.76,1,Grades PreK-2
CA,Technology,low,2010-09-22,557.65,1,Grades 9-12
CA,Technology,low,2010-09-22,557.65,1,Grades 9-12
CA,Technology,low,2010-09-22,557.65,1,Grades 9-12
CA,Technology,low,2010-09-22,557.65,1,Grades 9-12
CA,Technology,high,2010-08-24,806.0,1,Grades 6-8
ME,Other,high,2010-05-09,384.63,1,Grades PreK-2
CA,Other,high,2010-05-09,384.63,1,Grades PreK-2
CA,Technology,low,2010-10-06,382.4,1,Grades 6-8
CA,Technology,high,2010-08-20,1005.0,1,Grades 9-12
CA,Technology,high,2010-08-20,1005.0,2,Grades 9-12
OK,Other,high,2010-08-20,274.44,1,Grades PreK-2
CA,Supplies,high,2010-05-09,65.0,1,Grades 3-5
CA,Books,high,2010-05-16,530.99,1,Grades 3-5
CA,Supplies,high,2010-05-18,464.66,1,Grades PreK-2
CA,Books,low,2010-08-21,285.85,2,Grades 9-12
NC,Technology,high,2010-07-29,120.0,3,Grades 3-5
CA,Technology,high,2010-07-29,120.0,1,Grades 3-5
CA,Technology,high,2010-05-18,30.0,1,Grades 9-12
CA,Supplies,high,2010-09-03,623.31,1,Grades 9-12
CA,Technology,high,2010-09-07,511.65,1,Grades PreK-2
CA,Technology,low,2010-09-29,1981.24,1,Grades 3-5
CA,Technology,low,2010-06-04,282.0,1,Grades PreK-2
CA,Technology,low,2010-06-04,282.0,1,Grades PreK-2
CA,Supplies,high,2010-09-22,290.39,1,Grades 3-5
CA,Supplies,high,2010-06-04,587.73,2,Grades 3-5
CA,Supplies,high,2010-06-04,587.73,2,Grades 3-5
CA,Supplies,high,2010-06-04,587.73,3,Grades 3-5
CA,Technology,high,2010-09-29,1088.74,1,Grades 9-12
CA,Supplies,low,2010-10-03,665.13,1,Grades 9-12
CA,Technology,high,2010-09-02,970.29,1,Grades 3-5
CA,Technology,high,2010-09-02,970.29,1,Grades 3-5
CA,Technology,low,2010-09-25,318.32,1,Grades 6-8
RI,Supplies,high,2010-06-28,486.22,1,Grades 9-12
CA,Trips,high,2010-09-16,819.88,1,Grades 9-12
CA,Technology,high,2010-09-05,831.02,1,Grades 9-12
CA,Other,high,2010-05-04,299.66,1,Grades 6-8
CA,Books,high,2010-09-10,476.29,1,Grades 9-12
MO,Supplies,high,2010-08-07,388.33,2,Grades PreK-2
CA,Supplies,high,2010-08-07,388.33,2,Grades PreK-2
CA,Supplies,high,2010-09-29,315.79,1,Grades PreK-2
CA,Books,high,2010-10-01,236.4,1,Grades 3-5
CA,Books,high,2010-08-31,250.88,1,Grades 3-5
CA,Supplies,low,2010-09-09,659.15,1,Grades 3-5
CA,Supplies,low,2010-09-27,199.68,1,Grades 6-8
CA,Supplies,low,2010-09-27,199.68,2,Grades 6-8
CA,Books,high,2010-07-16,538.98,1,Grades 9-12
CA,Technology,low,2010-09-13,449.33,1,Grades 3-5
CA,Books,high,2010-09-08,381.94,1,Grades PreK-2
CT,Books,high,2010-10-01,513.41,1,Grades 9-12
CA,Supplies,low,2010-09-04,353.15,1,Grades PreK-2
CA,Technology,high,2010-05-20,165.0,1,Grades PreK-2
CA,Technology,high,2010-05-20,165.0,1,Grades PreK-2
MD,Technology,high,2010-05-20,165.0,10,Grades PreK-2
